AIRLINE;TRIP;ROU;TYP;PAX;ST;SCHENGEN;AT;BT;POS;BELT;BOUND;HANDLING_TYPE;SIKA;BELT_FIRST;BELT_LAST;EG;LG;DAUER_AUSGABE;STOERGRUND_GD
4U;2463;LHR;319;25;02.02.2016 11:20;0;02.02.2016 11:05;02.02.2016 11:09;10*;10;1;J;150;02.02.2016 11:45;02.02.2016 11:45;36;36;0;
TK;1702;IST;321;107;02.02.2016 11:20;0;02.02.2016 11:35;02.02.2016 11:22;26;;0;J;180;;;;;;
KL;1869;AMS;E90;56;02.02.2016 11:25;1;02.02.2016 11:15;02.02.2016 11:19;14;30;1;J;100;02.02.2016 11:59;02.02.2016 11:59;40;40;0;
TK;1743;SAW;73H;74;02.02.2016 11:35;0;02.02.2016 11:39;02.02.2016 11:48;9;10;1;J;165;02.02.2016 11:56;02.02.2016 11:58;8;10;2;
AB;7688;PMI;320;156;02.02.2016 11:40;1;02.02.2016 11:45;02.02.2016 11:34;12;;0;J;180;;;;;;
SU;2337;SVO;320;62;02.02.2016 12:05;0;02.02.2016 12:14;02.02.2016 12:01;15;;0;J;140;;;;;;
4U;2683;SKG;319;137;02.02.2016 12:10;1;02.02.2016 12:19;02.02.2016 12:22;40;40;1;J;144;02.02.2016 12:44;02.02.2016 12:48;21;26;5;Verzögerung beim Gepäcktransport
KL;1870;AMS;E90;73;02.02.2016 12:10;1;02.02.2016 12:20;02.02.2016 12:07;14;;0;J;100;;;;;;
4U;2460;LHR;319;53;02.02.2016 12:25;0;02.02.2016 12:30;02.02.2016 12:24;41;;0;J;144;;;;;;
LH;2146;MUC;CR9;49;02.02.2016 12:25;1;02.02.2016 12:16;02.02.2016 12:19;45;11;1;J;90;02.02.2016 12:28;02.02.2016 12:29;9;10;1;
TK;1744;SAW;73H;145;02.02.2016 12:35;0;02.02.2016 12:57;02.02.2016 12:43;9;;0;J;165;;;;;;
LH;2147;MUC;CR9;78;02.02.2016 13:00;1;02.02.2016 13:08;02.02.2016 13:02;45;;0;J;90;;;;;;
PC;321;SAW;73H;123;02.02.2016 13:05;0;02.02.2016 12:56;02.02.2016 13:01;15;32;1;J;189;02.02.2016 13:12;02.02.2016 13:20;10;19;9;
8Q;495;IST;320;67;02.02.2016 13:15;0;02.02.2016 13:28;02.02.2016 13:32;17;31;1;J;180;02.02.2016 13:41;02.02.2016 13:44;9;13;4;
LX;1168;ZRH;AR1;19;02.02.2016 13:20;1;02.02.2016 13:20;02.02.2016 13:24;11;11;1;J;97;02.02.2016 13:31;02.02.2016 13:32;7;8;1;
PC;322;SAW;73H;159;02.02.2016 13:45;0;02.02.2016 13:53;02.02.2016 13:42;15;;0;J;189;;;;;;
